LCIA method,impact_category
"ReCiPe 2016 v1.03, midpoint (E) no LT - ecotoxicity: marine no LT - marine ecotoxicity potential (METP) no LT",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (E) no LT - ecotoxicity: terrestrial no LT - terrestrial ecotoxicity potential (TETP) no LT",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (E) no LT - energy resources: non-renewable, fossil no LT - fossil fuel potential (FFP) no LT",fossil resources
"ReCiPe 2016 v1.03, midpoint (E) no LT - eutrophication: freshwater no LT - freshwater eutrophication potential (FEP) no LT",eutrophication
"ReCiPe 2016 v1.03, midpoint (E) no LT - eutrophication: marine no LT - marine eutrophication potential (MEP) no LT",eutrophication
"ReCiPe 2016 v1.03, midpoint (E) no LT - human toxicity: carcinogenic no LT - human toxicity potential (HTPc) no LT",human toxicity
"ReCiPe 2016 v1.03, midpoint (E) no LT - human toxicity: non-carcinogenic no LT - human toxicity potential (HTPnc) no LT",human toxicity
"ReCiPe 2016 v1.03, midpoint (E) no LT - ionising radiation no LT - ionising radiation potential (IRP) no LT",ionizing radiation
"ReCiPe 2016 v1.03, midpoint (E) no LT - land use no LT - agricultural land occupation (LOP) no LT",land use
"ReCiPe 2016 v1.03, midpoint (E) no LT - material resources: metals/minerals no LT - surplus ore potential (SOP) no LT",metal/mineral resources
"ReCiPe 2016 v1.03, midpoint (E) no LT - ozone depletion no LT - ozone depletion potential (ODPinfinite) no LT",ozone depletion
"ReCiPe 2016 v1.03, midpoint (E) no LT - particulate matter formation no LT - particulate matter formation potential (PMFP) no LT",particulate matter formation
"ReCiPe 2016 v1.03, midpoint (E) no LT - photochemical oxidant formation: human health no LT - photochemical oxidant formation potential: humans (HOFP) no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (E) no LT - photochemical oxidant formation: terrestrial ecosystems no LT - photochemical oxidant formation potential: ecosystems (EOFP) no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (E) no LT - water use no LT - water consumption potential (WCP) no LT",water use
"ReCiPe 2016 v1.03, midpoint (E) - acidification: terrestrial - terrestrial acidification potential (TAP)",acidification
"ReCiPe 2016 v1.03, midpoint (E) - climate change - global warming potential (GWP1000)",climate change
"ReCiPe 2016 v1.03, midpoint (E) - ecotoxicity: freshwater - freshwater ecotoxicity potential (FETP)",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (E) - ecotoxicity: marine - marine ecotoxicity potential (METP)",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (E) - ecotoxicity: terrestrial - terrestrial ecotoxicity potential (TETP)",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (E) - energy resources: non-renewable, fossil - fossil fuel potential (FFP)",fossil resources
"ReCiPe 2016 v1.03, midpoint (E) - eutrophication: freshwater - freshwater eutrophication potential (FEP)",eutrophication
"ReCiPe 2016 v1.03, midpoint (E) - eutrophication: marine - marine eutrophication potential (MEP)",eutrophication
"ReCiPe 2016 v1.03, midpoint (E) - human toxicity: carcinogenic - human toxicity potential (HTPc)",human toxicity
"ReCiPe 2016 v1.03, midpoint (E) - human toxicity: non-carcinogenic - human toxicity potential (HTPnc)",human toxicity
"ReCiPe 2016 v1.03, midpoint (E) - ionising radiation - ionising radiation potential (IRP)",ionizing radiation
"ReCiPe 2016 v1.03, midpoint (E) - land use - agricultural land occupation (LOP)",land use
"ReCiPe 2016 v1.03, midpoint (E) - material resources: metals/minerals - surplus ore potential (SOP)",metal/mineral resources
"ReCiPe 2016 v1.03, midpoint (E) - ozone depletion - ozone depletion potential (ODPinfinite)",ozone depletion
"ReCiPe 2016 v1.03, midpoint (E) - particulate matter formation - particulate matter formation potential (PMFP)",particulate matter formation
"ReCiPe 2016 v1.03, midpoint (E) - photochemical oxidant formation: human health - photochemical oxidant formation potential: humans (HOFP)",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (E) - photochemical oxidant formation: terrestrial ecosystems - photochemical oxidant formation potential: ecosystems (EOFP)",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (E) - water use - water consumption potential (WCP)",water use
"ReCiPe 2016 v1.03, midpoint (H) no LT - acidification: terrestrial no LT - terrestrial acidification potential (TAP) no LT",acidification
"ReCiPe 2016 v1.03, midpoint (H) no LT - climate change no LT - global warming potential (GWP100) no LT",climate change
"ReCiPe 2016 v1.03, midpoint (H) no LT - ecotoxicity: freshwater no LT - freshwater ecotoxicity potential (FETP) no LT",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (H) no LT - ecotoxicity: marine no LT - marine ecotoxicity potential (METP) no LT",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (H) no LT - ecotoxicity: terrestrial no LT - terrestrial ecotoxicity potential (TETP) no LT",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (H) no LT - energy resources: non-renewable, fossil no LT - fossil fuel potential (FFP) no LT",fossil resources
"ReCiPe 2016 v1.03, midpoint (H) no LT - eutrophication: freshwater no LT - freshwater eutrophication potential (FEP) no LT",eutrophication
"ReCiPe 2016 v1.03, midpoint (H) no LT - eutrophication: marine no LT - marine eutrophication potential (MEP) no LT",eutrophication
"ReCiPe 2016 v1.03, midpoint (H) no LT - human toxicity: carcinogenic no LT - human toxicity potential (HTPc) no LT",human toxicity
"ReCiPe 2016 v1.03, midpoint (H) no LT - human toxicity: non-carcinogenic no LT - human toxicity potential (HTPnc) no LT",human toxicity
"ReCiPe 2016 v1.03, midpoint (H) no LT - ionising radiation no LT - ionising radiation potential (IRP) no LT",ionizing radiation
"ReCiPe 2016 v1.03, midpoint (H) no LT - land use no LT - agricultural land occupation (LOP) no LT",land use
"ReCiPe 2016 v1.03, midpoint (H) no LT - material resources: metals/minerals no LT - surplus ore potential (SOP) no LT",metal/mineral resources
"ReCiPe 2016 v1.03, midpoint (H) no LT - ozone depletion no LT - ozone depletion potential (ODPinfinite) no LT",ozone depletion
"ReCiPe 2016 v1.03, midpoint (H) no LT - particulate matter formation no LT - particulate matter formation potential (PMFP) no LT",particulate matter formation
"ReCiPe 2016 v1.03, midpoint (H) no LT - photochemical oxidant formation: human health no LT - photochemical oxidant formation potential: humans (HOFP) no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (H) no LT - photochemical oxidant formation: terrestrial ecosystems no LT - photochemical oxidant formation potential: ecosystems (EOFP) no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (H) no LT - water use no LT - water consumption potential (WCP) no LT",water use
"ReCiPe 2016 v1.03, midpoint (H) - climate change - global warming potential (GWP100)",climate change
"ReCiPe 2016 v1.03, midpoint (I) no LT - acidification: terrestrial no LT - terrestrial acidification potential (TAP) no LT",acidification
"ReCiPe 2016 v1.03, midpoint (I) no LT - climate change no LT - global warming potential (GWP20) no LT",climate change
"ReCiPe 2016 v1.03, midpoint (I) no LT - ecotoxicity: freshwater no LT - freshwater ecotoxicity potential (FETP) no LT",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (I) no LT - ecotoxicity: marine no LT - marine ecotoxicity potential (METP) no LT",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (I) no LT - ecotoxicity: terrestrial no LT - terrestrial ecotoxicity potential (TETP) no LT",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (I) no LT - energy resources: non-renewable, fossil no LT - fossil fuel potential (FFP) no LT",fossil resources
"ReCiPe 2016 v1.03, midpoint (I) no LT - eutrophication: freshwater no LT - freshwater eutrophication potential (FEP) no LT",eutrophication
"ReCiPe 2016 v1.03, midpoint (I) no LT - eutrophication: marine no LT - marine eutrophication potential (MEP) no LT",eutrophication
"ReCiPe 2016 v1.03, midpoint (I) no LT - human toxicity: carcinogenic no LT - human toxicity potential (HTPc) no LT",human toxicity
"ReCiPe 2016 v1.03, midpoint (I) no LT - human toxicity: non-carcinogenic no LT - human toxicity potential (HTPnc) no LT",human toxicity
"ReCiPe 2016 v1.03, midpoint (I) no LT - ionising radiation no LT - ionising radiation potential (IRP) no LT",ionizing radiation
"ReCiPe 2016 v1.03, midpoint (I) no LT - land use no LT - agricultural land occupation (LOP) no LT",land use
"ReCiPe 2016 v1.03, midpoint (I) no LT - material resources: metals/minerals no LT - surplus ore potential (SOP) no LT",metal/mineral resources
"ReCiPe 2016 v1.03, midpoint (I) no LT - ozone depletion no LT - ozone depletion potential (ODPinfinite) no LT",ozone depletion
"ReCiPe 2016 v1.03, midpoint (I) no LT - particulate matter formation no LT - particulate matter formation potential (PMFP) no LT",particulate matter formation
"ReCiPe 2016 v1.03, midpoint (I) no LT - photochemical oxidant formation: human health no LT - photochemical oxidant formation potential: humans (HOFP) no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (I) no LT - photochemical oxidant formation: terrestrial ecosystems no LT - photochemical oxidant formation potential: ecosystems (EOFP) no LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (I) no LT - water use no LT - water consumption potential (WCP) no LT",water use
"ReCiPe 2016 v1.03, midpoint (I) - acidification: terrestrial - terrestrial acidification potential (TAP)",acidification
"ReCiPe 2016 v1.03, midpoint (I) - climate change - global warming potential (GWP20)",climate change
"ReCiPe 2016 v1.03, midpoint (I) - ecotoxicity: freshwater - freshwater ecotoxicity potential (FETP)",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (I) - ecotoxicity: marine - marine ecotoxicity potential (METP)",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (I) - ecotoxicity: terrestrial - terrestrial ecotoxicity potential (TETP)",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (I) - energy resources: non-renewable, fossil - fossil fuel potential (FFP)",fossil resources
"ReCiPe 2016 v1.03, midpoint (I) - eutrophication: freshwater - freshwater eutrophication potential (FEP)",eutrophication
"ReCiPe 2016 v1.03, midpoint (I) - eutrophication: marine - marine eutrophication potential (MEP)",eutrophication
"ReCiPe 2016 v1.03, midpoint (I) - human toxicity: carcinogenic - human toxicity potential (HTPc)",human toxicity
"ReCiPe 2016 v1.03, midpoint (I) - human toxicity: non-carcinogenic - human toxicity potential (HTPnc)",human toxicity
"ReCiPe 2016 v1.03, midpoint (I) - ionising radiation - ionising radiation potential (IRP)",ionizing radiation
"ReCiPe 2016 v1.03, midpoint (I) - land use - agricultural land occupation (LOP)",land use
"ReCiPe 2016 v1.03, midpoint (I) - material resources: metals/minerals - surplus ore potential (SOP)",metal/mineral resources
"ReCiPe 2016 v1.03, midpoint (I) - ozone depletion - ozone depletion potential (ODPinfinite)",ozone depletion
"ReCiPe 2016 v1.03, midpoint (I) - particulate matter formation - particulate matter formation potential (PMFP)",particulate matter formation
"ReCiPe 2016 v1.03, midpoint (I) - photochemical oxidant formation: human health - photochemical oxidant formation potential: humans (HOFP)",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (I) - photochemical oxidant formation: terrestrial ecosystems - photochemical oxidant formation potential: ecosystems (EOFP)",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (I) - water use - water consumption potential (WCP)",water use
TRACI v2.1 no LT - acidification no LT - acidification potential (AP) no LT,acidification
TRACI v2.1 no LT - climate change no LT - global warming potential (GWP100) no LT,climate change
TRACI v2.1 no LT - ecotoxicity: freshwater no LT - ecotoxicity: freshwater no LT,ecotoxicity
TRACI v2.1 no LT - eutrophication no LT - eutrophication potential no LT,eutrophication
TRACI v2.1 no LT - human toxicity: carcinogenic no LT - human toxicity: carcinogenic no LT,human toxicity
TRACI v2.1 no LT - human toxicity: non-carcinogenic no LT - human toxicity: non-carcinogenic no LT,human toxicity
TRACI v2.1 no LT - ozone depletion no LT - ozone depletion potential (ODP) no LT,ozone depletion
TRACI v2.1 no LT - particulate matter formation no LT - particulate matter formation potential (PMFP) no LT,particulate matter formation
TRACI v2.1 no LT - photochemical oxidant formation no LT - maximum incremental reactivity (MIR) no LT,photochemical oxidant formation
TRACI v2.1 - acidification - acidification potential (AP),acidification
TRACI v2.1 - climate change - global warming potential (GWP100),climate change
TRACI v2.1 - ecotoxicity: freshwater - ecotoxicity: freshwater,ecotoxicity
TRACI v2.1 - eutrophication - eutrophication potential,eutrophication
TRACI v2.1 - human toxicity: carcinogenic - human toxicity: carcinogenic,human toxicity
TRACI v2.1 - human toxicity: non-carcinogenic - human toxicity: non-carcinogenic,human toxicity
TRACI v2.1 - ozone depletion - ozone depletion potential (ODP),ozone depletion
TRACI v2.1 - particulate matter formation - particulate matter formation potential (PMFP),particulate matter formation
TRACI v2.1 - photochemical oxidant formation - maximum incremental reactivity (MIR),photochemical oxidant formation
"USEtox v2.13, endpoint no LT - ecosystem quality no LT - ecotoxicity: freshwater no LT",ecotoxicity
"USEtox v2.13, endpoint no LT - human health no LT - human toxicity: carcinogenic no LT",human toxicity
"USEtox v2.13, endpoint no LT - human health no LT - human toxicity: non-carcinogenic no LT",human toxicity
"USEtox v2.13, endpoint - ecosystem quality - ecotoxicity: freshwater",ecotoxicity
"USEtox v2.13, endpoint - human health - human toxicity: carcinogenic",human toxicity
"USEtox v2.13, endpoint - human health - human toxicity: non-carcinogenic",human toxicity
"USEtox v2.13, midpoint no LT - ecotoxicity: freshwater no LT - comparative toxic unit for ecosystems (CTUe) no LT",ecotoxicity
"USEtox v2.13, midpoint no LT - human toxicity: carcinogenic no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
"USEtox v2.13, midpoint no LT - human toxicity: non-carcinogenic no LT - comparative toxic unit for human (CTUh) no LT",human toxicity
"USEtox v2.13, midpoint - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)",ecotoxicity
"USEtox v2.13, midpoint - human toxicity: carcinogenic - comparative toxic unit for human (CTUh)",human toxicity
"USEtox v2.13, midpoint - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)",human toxicity
EF v3.0 EN15804 - acidification - accumulated exceedance (AE),acidification
EF v3.0 EN15804 - climate change - global warming potential (GWP100),climate change
EF v3.0 EN15804 - climate change: biogenic - global warming potential (GWP100),climate change
EF v3.0 EN15804 - climate change: fossil - global warming potential (GWP100),climate change
EF v3.0 EN15804 - climate change: GHG (EPD PCR) - global warming potential (GWP100),climate change
EF v3.0 EN15804 - climate change: land use and land use change - global warming potential (GWP100),
EF v3.0 EN15804 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),ecotoxicity
EF v3.0 EN15804 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,fossil resources
EF v3.0 EN15804 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),eutrophication
EF v3.0 EN15804 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),eutrophication
EF v3.0 EN15804 - eutrophication: terrestrial - accumulated exceedance (AE),eutrophication
EF v3.0 EN15804 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),human toxicity
EF v3.0 EN15804 - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh),human toxicity
EF v3.0 EN15804 - ionising radiation: human health - human exposure efficiency relative to u235,ionizing radiation
EF v3.0 EN15804 - land use - soil quality index,land use
EF v3.0 EN15804 - material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves),metal/mineral resources
EF v3.0 EN15804 - ozone depletion - ozone depletion potential (ODP),ozone depletion
EF v3.0 EN15804 - particulate matter formation - impact on human health,particulate matter formation
EF v3.0 EN15804 - photochemical oxidant formation: human health - tropospheric ozone concentration increase,photochemical oxidant formation
EF v3.0 EN15804 - water use - user deprivation potential (deprivation-weighted water consumption),water use
EF v3.1 EN15804 - acidification - accumulated exceedance (AE),acidification
EF v3.1 EN15804 - climate change - global warming potential (GWP100),climate change
EF v3.1 EN15804 - climate change: biogenic - global warming potential (GWP100),climate change
EF v3.1 EN15804 - climate change: fossil - global warming potential (GWP100),climate change
EF v3.1 EN15804 - climate change: GHG (EPD PCR) - global warming potential (GWP100),climate change
EF v3.1 EN15804 - climate change: land use and land use change - global warming potential (GWP100),
EF v3.1 EN15804 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),ecotoxicity
EF v3.1 EN15804 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,fossil resources
EF v3.1 EN15804 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),eutrophication
EF v3.1 EN15804 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),eutrophication
EF v3.1 EN15804 - eutrophication: terrestrial - accumulated exceedance (AE),eutrophication
EF v3.1 EN15804 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),human toxicity
EF v3.1 EN15804 - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh),human toxicity
EF v3.1 EN15804 - ionising radiation: human health - human exposure efficiency relative to u235,ionizing radiation
EF v3.1 EN15804 - land use - soil quality index,land use
EF v3.1 EN15804 - material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves),metal/mineral resources
EF v3.1 EN15804 - ozone depletion - ozone depletion potential (ODP),ozone depletion
EF v3.1 EN15804 - particulate matter formation - impact on human health,particulate matter formation
EF v3.1 EN15804 - photochemical oxidant formation: human health - tropospheric ozone concentration increase,photochemical oxidant formation
EF v3.1 EN15804 - water use - user deprivation potential (deprivation-weighted water consumption),water use
EN15804 - inventory indicators ISO21930 - exported energy - electricity,EN15804 - inventory indicators ISO21930 - exported energy - electricity
EN15804 - inventory indicators ISO21930 - exported energy - heat,EN15804 - inventory indicators ISO21930 - exported energy - heat
EN15804 - inventory indicators ISO21930 - hazardous waste disposed,EN15804 - inventory indicators ISO21930 - hazardous waste disposed
EN15804 - inventory indicators ISO21930 - high-level radioactive waste disposed,EN15804 - inventory indicators ISO21930 - high-level radioactive waste disposed
EN15804 - inventory indicators ISO21930 - intermediate and low-level radioactive waste disposed,EN15804 - inventory indicators ISO21930 - intermediate and low-level radioactive waste disposed
EN15804 - inventory indicators ISO21930 - materials for energy recovery,EN15804 - inventory indicators ISO21930 - materials for energy recovery
EN15804 - inventory indicators ISO21930 - materials for recycling,EN15804 - inventory indicators ISO21930 - materials for recycling
EN15804 - inventory indicators ISO21930 - non-hazardous waste disposed,EN15804 - inventory indicators ISO21930 - non-hazardous waste disposed
EN15804 - inventory indicators ISO21930 - recovered energy,EN15804 - inventory indicators ISO21930 - recovered energy
EN15804 - inventory indicators ISO21930 - use of net fresh water,EN15804 - inventory indicators ISO21930 - use of net fresh water
EN15804 - inventory indicators ISO21930 - use of renewable secondary fuels,EN15804 - inventory indicators ISO21930 - use of renewable secondary fuels
EN15804 - inventory indicators ISO21930 - use of secondary material,EN15804 - inventory indicators ISO21930 - use of secondary material
EN15804 - inventory indicators ISO21930 - Cumulative Energy Demand - renewable energy resources,fossil resources
EN15804 - inventory indicators ISO21930 - Cumulative Energy Demand - non-renewable energy resources,fossil resources
RELICS - metals extraction - Arsenic,RELICS - metals extraction - Arsenic
RELICS - metals extraction - Barium,RELICS - metals extraction - Barium
RELICS - metals extraction - Dolomite,RELICS - metals extraction - Dolomite
RELICS - metals extraction - Holmium,RELICS - metals extraction - Holmium
RELICS - metals extraction - Iron,RELICS - metals extraction - Iron
RELICS - metals extraction - Mercury,RELICS - metals extraction - Mercury
RELICS - metals extraction - Phosphorus,RELICS - metals extraction - Phosphorus
RELICS - metals extraction - Rubidium,RELICS - metals extraction - Rubidium
RELICS - metals extraction - Sodium,RELICS - metals extraction - Sodium
RELICS - metals extraction - Spodumene,RELICS - metals extraction - Spodumene
RELICS - metals extraction - Thulium,RELICS - metals extraction - Thulium
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - climate change: freshwater ecosystems - incl. H and bio CO2",climate change
"ReCiPe 2016 v1.03, endpoint (H) - ecosystem quality - climate change: terrestrial ecosystems - incl. H and bio CO2",climate change
"ReCiPe 2016 v1.03, endpoint (H) - human health - climate change: human health - incl. H and bio CO2",climate change
"IPCC 2021 no LT - climate change no LT - GWP 100a, incl. H and bio CO2 no LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - climate change: freshwater ecosystems no LT - incl. H and bio CO2 no LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) no LT - ecosystem quality no LT - climate change: terrestrial ecosystems no LT - incl. H and bio CO2 no LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) no LT - human health no LT - climate change: human health no LT - incl. H and bio CO2 no LT",climate change
"ImpactWorld+ 2.1 - Climate change, ecosystem quality, long term - damage",climate change
"ImpactWorld+ 2.1 - Climate change, ecosystem quality, short term - damage",climate change
"ImpactWorld+ 2.1 - Climate change, human health, long term - damage",climate change
"ImpactWorld+ 2.1 - Climate change, human health, short term - damage",climate change
ImpactWorld+ 2.1 - Fisheries impact - damage,ImpactWorld+ 2.1 - Fisheries impact - damage
ImpactWorld+ 2.1 - Freshwater acidification - damage,acidification
"ImpactWorld+ 2.1 - Freshwater ecotoxicity, long term - damage",ecotoxicity
"ImpactWorld+ 2.1 - Freshwater ecotoxicity, short term - damage",ecotoxicity
ImpactWorld+ 2.1 - Freshwater eutrophication - damage,eutrophication
"ImpactWorld+ 2.1 - Human toxicity cancer, long term - damage",human toxicity
"ImpactWorld+ 2.1 - Human toxicity cancer, short term - damage",human toxicity
"ImpactWorld+ 2.1 - Human toxicity non-cancer, long term - damage",human toxicity
"ImpactWorld+ 2.1 - Human toxicity non-cancer, short term - damage",human toxicity
"ImpactWorld+ 2.1 - Ionizing radiations, ecosystem quality - damage",ionizing radiation
"ImpactWorld+ 2.1 - Ionizing radiations, human health - damage",ionizing radiation
"ImpactWorld+ 2.1 - Land occupation, biodiversity - damage","ImpactWorld+ 2.1 - Land occupation, biodiversity - damage"
"ImpactWorld+ 2.1 - Land transformation, biodiversity - damage","ImpactWorld+ 2.1 - Land transformation, biodiversity - damage"
"ImpactWorld+ 2.1 - Marine acidification, long term - damage",acidification
"ImpactWorld+ 2.1 - Marine acidification, short term - damage",acidification
"ImpactWorld+ 2.1 - Marine ecotoxicity, long term - damage",ecotoxicity
"ImpactWorld+ 2.1 - Marine ecotoxicity, short term - damage",ecotoxicity
ImpactWorld+ 2.1 - Marine eutrophication - damage,eutrophication
ImpactWorld+ 2.1 - Ozone layer depletion - damage,ImpactWorld+ 2.1 - Ozone layer depletion - damage
ImpactWorld+ 2.1 - Particulate matter formation - damage,particulate matter formation
"ImpactWorld+ 2.1 - Photochemical ozone formation, ecosystem quality - damage","ImpactWorld+ 2.1 - Photochemical ozone formation, ecosystem quality - damage"
"ImpactWorld+ 2.1 - Photochemical ozone formation, human health - damage","ImpactWorld+ 2.1 - Photochemical ozone formation, human health - damage"
ImpactWorld+ 2.1 - Plastics physical effects on biota - damage,ImpactWorld+ 2.1 - Plastics physical effects on biota - damage
ImpactWorld+ 2.1 - Terrestrial acidification - damage,acidification
"ImpactWorld+ 2.1 - Terrestrial ecotoxicity, long term - damage",ecotoxicity
"ImpactWorld+ 2.1 - Terrestrial ecotoxicity, short term - damage",ecotoxicity
ImpactWorld+ 2.1 - Thermally polluted water - damage,ImpactWorld+ 2.1 - Thermally polluted water - damage
"ImpactWorld+ 2.1 - Water availability, freshwater ecosystem - damage","ImpactWorld+ 2.1 - Water availability, freshwater ecosystem - damage"
"ImpactWorld+ 2.1 - Water availability, human health - damage","ImpactWorld+ 2.1 - Water availability, human health - damage"
"ImpactWorld+ 2.1 - Water availability, terrestrial ecosystem - damage","ImpactWorld+ 2.1 - Water availability, terrestrial ecosystem - damage"
"ReCiPe 2016 v1.03, endpoint (H) - human health - particulate matter formation - with adapted intake fractions",particulate matter formation
"ReCiPe 2016 v1.03, endpoint (H) no LT - human health no LT - particulate matter formation no LT - with adapted intake fractions",particulate matter formation
RELICS - metals extraction - REEs,RELICS - metals extraction - REEs
RELICS - metals extraction - PGMs,RELICS - metals extraction - PGMs
"ReCiPe 2016 v1.03, midpoint (H) only LT - acidification: terrestrial only LT - terrestrial acidification potential (TAP) only LT",acidification
"ReCiPe 2016 v1.03, midpoint (H) only LT - ecotoxicity: freshwater only LT - freshwater ecotoxicity potential (FETP) only LT",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (H) only LT - ecotoxicity: marine only LT - marine ecotoxicity potential (METP) only LT",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (H) only LT - ecotoxicity: terrestrial only LT - terrestrial ecotoxicity potential (TETP) only LT",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (H) only LT - energy resources: non-renewable, fossil only LT - fossil fuel potential (FFP) only LT",fossil resources
"ReCiPe 2016 v1.03, midpoint (H) only LT - eutrophication: freshwater only LT - freshwater eutrophication potential (FEP) only LT",eutrophication
"ReCiPe 2016 v1.03, midpoint (H) only LT - eutrophication: marine only LT - marine eutrophication potential (MEP) only LT",eutrophication
"ReCiPe 2016 v1.03, midpoint (H) only LT - human toxicity: carcinogenic only LT - human toxicity potential (HTPc) only LT",human toxicity
"ReCiPe 2016 v1.03, midpoint (H) only LT - human toxicity: non-carcinogenic only LT - human toxicity potential (HTPnc) only LT",human toxicity
"ReCiPe 2016 v1.03, midpoint (H) only LT - ionising radiation only LT - ionising radiation potential (IRP) only LT",ionizing radiation
"ReCiPe 2016 v1.03, midpoint (H) only LT - land use only LT - agricultural land occupation (LOP) only LT",land use
"ReCiPe 2016 v1.03, midpoint (H) only LT - material resources: metals/minerals only LT - surplus ore potential (SOP) only LT",metal/mineral resources
"ReCiPe 2016 v1.03, midpoint (H) only LT - ozone depletion only LT - ozone depletion potential (ODPinfinite) only LT",ozone depletion
"ReCiPe 2016 v1.03, midpoint (H) only LT - particulate matter formation only LT - particulate matter formation potential (PMFP) only LT",particulate matter formation
"ReCiPe 2016 v1.03, midpoint (H) only LT - photochemical oxidant formation: human health only LT - photochemical oxidant formation potential: humans (HOFP) only LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (H) only LT - photochemical oxidant formation: terrestrial ecosystems only LT - photochemical oxidant formation potential: ecosystems (EOFP) only LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (H) only LT - water use only LT - water consumption potential (WCP) only LT",water use
"IPCC 2021 only LT - climate change only LT - GWP 100a, incl. H and bio CO2 only LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - acidification: terrestrial only LT",acidification
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - climate change: freshwater ecosystems only LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - climate change: terrestrial ecosystems only LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - ecotoxicity: freshwater only LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - ecotoxicity: marine only LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - ecotoxicity: terrestrial only LT",ecotoxicity
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - eutrophication: freshwater only LT",eutrophication
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - eutrophication: marine only LT",eutrophication
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - land use only LT",land use
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - photochemical oxidant formation: terrestrial ecosystems only LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - water use: aquatic ecosystems only LT",water use
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - water use: terrestrial ecosystems only LT",water use
"ReCiPe 2016 v1.03, endpoint (H) only LT - human health only LT - climate change: human health only LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) only LT - human health only LT - human toxicity: carcinogenic only LT",human toxicity
